ts	phase	decision	why	evidence	result
2026-08-29T13:29:27Z	frame	matched Hillclimb; two targets are 1048576 context with a needle proof and much higher frozen-harness decode tok/s	user asked for 1M context plus higher decode on the live NVFP4 2x Spark recipe; stop predicate will pair both with a floor of 10 iterations	playbooks/hillclimb.md	open
2026-08-29T13:39:43Z	harness	froze python3 bench_decode.py and recorded live baseline plus count_probe	prove-it-works and build-the-lever: the published command is the ruler; prose/structured already separate	evidence/baseline-bench.txt evidence/baseline-count.txt	prose_c1=28.30 structured_c1=50.74 count_gate_pending
2026-08-29T13:39:43Z	frame	stop predicate: 1M needle at >=95% window AND prose c=1 decode >=42.4 (1.5x 28.3) after >=10 iterations, or occupancy lanes if one pin cannot hold both	user gave 1M explicitly; much higher decode set to 50% with an attempt floor so a lucky first win cannot end the run	evidence/architecture-model.md	open
2026-08-29T13:40:21Z	hillclimb	H1 start: DFlash2-6 plus graph ladder 7/14/21/28; restarting owned serve	only untested spec slot on this image; pos 4 still accepts; one change then measure	evidence/hypotheses.md	running
2026-08-29T14:01:36Z	hillclimb	H1 reverted: prose c=1 28.30->27.96; structured c=1 50.74->55.67; pool 400k->386k	primary ruler is prose c=1; extra slot taxes KDA copies and admission	evidence/iter-h1/bench.txt	reverted
2026-08-29T14:01:36Z	hillclimb	H2 start: default DFlash2-5 plus max-num-batched-tokens 4096	engine warned 2048 is suboptimal with draft slots; isolate this from spec=6	evidence/hypotheses.md	running
2026-08-29T14:23:51Z	hillclimb	H2 reverted: prose c=1 28.30->29.52 but c=4 TTFT 6.6s and pool 390k	batched tokens 4096 starved c=4 admission on this pin; primary ruler is not worth that regression	evidence/iter-h2/bench.txt	reverted
2026-08-29T14:23:51Z	hillclimb	H3 start: DFlash2-7 at max-num-seqs=2, graphs 8/16	full trained block; 7 slots starve c=4 so drop occupancy instead of truncating the draft	evidence/hypotheses.md	running
2026-08-29T14:44:24Z	hillclimb	H3 reverted as default: prose c=1 28.30->27.32; structured c=1 50.74->61.86	full block helps high-acceptance decode; it does not raise the prose ruler and it drops c=4 occupancy	evidence/iter-h3/bench.txt	reverted
2026-08-29T14:44:50Z	hillclimb	H4 start: restore DFlash2-5 seqs=4 with chat_template.jinja thinking gate	H6: stock template always opened think; this is a correctness keep not a tok/s hill	chat_template.jinja run.sh	running
2026-08-29T15:06:37Z	hillclimb	H4 kept: thinking-off template, 1M fp8 refuse, derived graphs, NUM_SPECULATIVE_TOKENS. Smoke no longer starts with CoT. Count 200 consecutive.	stock jinja always opened think; fp8 pin cannot hold 1M so run.sh must refuse	chat_template.jinja run.sh README.md artifacts/serve-smoke/20260829T150617Z	kept
2026-08-31T11:33:48Z	forensics	spark2 global-OOM during flashinfer_cutlass JIT, spark1 exit 255 after TP partner died	weights 90.67 GiB then cudafe++ with ~18 GiB left; docker OOMKilled=true on spark2 not spark1	evidence/oom-20260831/diagnosis.txt	spark2 OOMKilled=true NV_ERR_NO_MEMORY
2026-08-31T11:33:48Z	hillclimb	refuse MOE_BACKEND other than marlin unless FORCE_UNSAFE_MOE=1	encode the UMA kill so the next boot cannot retry cutlass	run.sh recipe-lint.py	VALIDATE_ONLY cutlass rc=1
2026-08-31T11:34:00Z	forensics	spark2 global-OOM during flashinfer_cutlass JIT, spark1 exit 255 after TP partner died	weights 90.67 GiB then cudafe++ with ~18 GiB left; docker OOMKilled=true on spark2 not spark1	evidence/oom-20260831/diagnosis.txt	spark2 OOMKilled=true NV_ERR_NO_MEMORY
2026-08-31T11:34:00Z	hillclimb	refuse MOE_BACKEND other than marlin unless FORCE_UNSAFE_MOE=1	encode the UMA kill so the next boot cannot retry cutlass	run.sh recipe-lint.py	VALIDATE_ONLY cutlass rc=1
2026-08-31T12:00:51Z	hillclimb	kept caca4e6 on v11 marlin after restore	serve ready, smoke, count 200, thinking-off PING, two bench waves, no OOM	evidence/iter-h-snap/bench.txt evidence/iter-h-snap/bench-wave2.txt artifacts/serve-smoke/20260831T115434Z	doctor ready worker=up OOMKilled=false
2026-09-03T01:25:59Z	hillclimb	H1-20260903 reverted: NUM_SPECULATIVE_TOKENS=5	render or lint failed after keep: render: wrote README.md result=fail n=1 	evidence/iter-H1-20260903-20260903T010419Z/bench.json	prose_c1=21.97 prose_c2=17.52
2026-09-03T01:47:46Z	hillclimb	H2-20260903 reverted: SPEC=mtp	c=1 19.22 vs 19.23 not past 8% noise	evidence/iter-H2-20260903-20260903T012725Z/bench.json	prose_c1=19.22 prose_c2=17.70
2026-09-03T02:11:40Z	hillclimb	H3-20260903 reverted: MAX_NUM_SEQS=1	c=1 17.40 vs 19.23 not past 8% noise	evidence/iter-H3-20260903-20260903T015040Z/bench.json	prose_c1=17.40 prose_c2=19.95
2026-09-03T02:13:25Z	hillclimb	H4-20260903 reverted: EXTRA_ARGS=--swap-space 0	run.sh exited before doctor was ready	evidence/iter-H4-20260903-20260903T021220Z/bench.json	prose_c1=n/a
2026-09-03T03:08:41Z	hillclimb	H1-20260903 kept (hand-applied): NUM_SPECULATIVE_TOKENS=5	measured keep lost to a stale lint literal (fixed c0c4af3); applied through recipe.yaml serve.env + kit/render.py	evidence/iter-H1-20260903-20260903T010419Z/bench.json	prose_c1=21.97 prose_c2=17.52
